clean,corrupted,answer
Solve the following and respond with only the final answer:91-52=,Solve the following and respond with only the final answer:91-70=,143
Solve the following and respond with only the final answer:94+21=,Solve the following and respond with only the final answer:94+13=,73
Solve the following and respond with only the final answer:81-58=,Solve the following and respond with only the final answer:81-53=,139
Solve the following and respond with only the final answer:85+14=,Solve the following and respond with only the final answer:85+68=,71
Solve the following and respond with only the final answer:12-78=,Solve the following and respond with only the final answer:12-88=,90
Solve the following and respond with only the final answer:99+18=,Solve the following and respond with only the final answer:99+71=,81
Solve the following and respond with only the final answer:35-61=,Solve the following and respond with only the final answer:35-19=,96
Solve the following and respond with only the final answer:31+16=,Solve the following and respond with only the final answer:31+96=,15
Solve the following and respond with only the final answer:60-54=,Solve the following and respond with only the final answer:60-51=,114
Solve the following and respond with only the final answer:80+67=,Solve the following and respond with only the final answer:80+79=,13
Solve the following and respond with only the final answer:53-84=,Solve the following and respond with only the final answer:53-90=,137
Solve the following and respond with only the final answer:55+41=,Solve the following and respond with only the final answer:55+97=,14
Solve the following and respond with only the final answer:16-12=,Solve the following and respond with only the final answer:16-85=,28
Solve the following and respond with only the final answer:62+20=,Solve the following and respond with only the final answer:62+49=,42
Solve the following and respond with only the final answer:38-97=,Solve the following and respond with only the final answer:38-43=,135
Solve the following and respond with only the final answer:79+46=,Solve the following and respond with only the final answer:79+90=,33
Solve the following and respond with only the final answer:20-86=,Solve the following and respond with only the final answer:20-31=,106
Solve the following and respond with only the final answer:92+25=,Solve the following and respond with only the final answer:92+15=,67
Solve the following and respond with only the final answer:23-96=,Solve the following and respond with only the final answer:23-72=,119
Solve the following and respond with only the final answer:56+38=,Solve the following and respond with only the final answer:56+72=,18
Solve the following and respond with only the final answer:99-93=,Solve the following and respond with only the final answer:99-41=,192
Solve the following and respond with only the final answer:97+87=,Solve the following and respond with only the final answer:97+34=,10
Solve the following and respond with only the final answer:91-39=,Solve the following and respond with only the final answer:91-40=,130
Solve the following and respond with only the final answer:84+17=,Solve the following and respond with only the final answer:84+59=,67
Solve the following and respond with only the final answer:50-11=,Solve the following and respond with only the final answer:50-70=,61
Solve the following and respond with only the final answer:74+61=,Solve the following and respond with only the final answer:74+29=,13
Solve the following and respond with only the final answer:94-31=,Solve the following and respond with only the final answer:94-98=,125
Solve the following and respond with only the final answer:67+11=,Solve the following and respond with only the final answer:67+99=,56
Solve the following and respond with only the final answer:55-68=,Solve the following and respond with only the final answer:55-16=,123
Solve the following and respond with only the final answer:85+27=,Solve the following and respond with only the final answer:85+52=,58
Solve the following and respond with only the final answer:32-23=,Solve the following and respond with only the final answer:32-90=,55
Solve the following and respond with only the final answer:65+43=,Solve the following and respond with only the final answer:65+85=,22
Solve the following and respond with only the final answer:40-65=,Solve the following and respond with only the final answer:40-24=,105
Solve the following and respond with only the final answer:79+76=,Solve the following and respond with only the final answer:79+56=,3
Solve the following and respond with only the final answer:13-22=,Solve the following and respond with only the final answer:13-32=,35
Solve the following and respond with only the final answer:43+29=,Solve the following and respond with only the final answer:43+75=,14
Solve the following and respond with only the final answer:77-74=,Solve the following and respond with only the final answer:77-31=,151
Solve the following and respond with only the final answer:97+44=,Solve the following and respond with only the final answer:97+93=,53
Solve the following and respond with only the final answer:30-91=,Solve the following and respond with only the final answer:30-85=,121
Solve the following and respond with only the final answer:61+59=,Solve the following and respond with only the final answer:61+70=,2
Solve the following and respond with only the final answer:21-92=,Solve the following and respond with only the final answer:21-70=,113
Solve the following and respond with only the final answer:92+79=,Solve the following and respond with only the final answer:92+48=,13
Solve the following and respond with only the final answer:80-52=,Solve the following and respond with only the final answer:80-24=,132
Solve the following and respond with only the final answer:32+11=,Solve the following and respond with only the final answer:32+96=,21
Solve the following and respond with only the final answer:34-33=,Solve the following and respond with only the final answer:34-40=,67
Solve the following and respond with only the final answer:96+11=,Solve the following and respond with only the final answer:96+44=,85
Solve the following and respond with only the final answer:83-89=,Solve the following and respond with only the final answer:83-14=,172
Solve the following and respond with only the final answer:59+44=,Solve the following and respond with only the final answer:59+75=,15
Solve the following and respond with only the final answer:40-73=,Solve the following and respond with only the final answer:40-44=,113
Solve the following and respond with only the final answer:30+15=,Solve the following and respond with only the final answer:30+89=,15
Solve the following and respond with only the final answer:58-76=,Solve the following and respond with only the final answer:58-99=,134
Solve the following and respond with only the final answer:93+46=,Solve the following and respond with only the final answer:93+13=,47
Solve the following and respond with only the final answer:41-97=,Solve the following and respond with only the final answer:41-35=,138
Solve the following and respond with only the final answer:84+27=,Solve the following and respond with only the final answer:84+60=,57
Solve the following and respond with only the final answer:74-78=,Solve the following and respond with only the final answer:74-77=,152
Solve the following and respond with only the final answer:66+45=,Solve the following and respond with only the final answer:66+18=,21
Solve the following and respond with only the final answer:23-76=,Solve the following and respond with only the final answer:23-62=,99
Solve the following and respond with only the final answer:37+17=,Solve the following and respond with only the final answer:37+16=,20
Solve the following and respond with only the final answer:97-83=,Solve the following and respond with only the final answer:97-16=,180
Solve the following and respond with only the final answer:89+72=,Solve the following and respond with only the final answer:89+70=,17
Solve the following and respond with only the final answer:44-61=,Solve the following and respond with only the final answer:44-57=,105
Solve the following and respond with only the final answer:25+11=,Solve the following and respond with only the final answer:25+47=,14
Solve the following and respond with only the final answer:81-91=,Solve the following and respond with only the final answer:81-41=,172
Solve the following and respond with only the final answer:70+17=,Solve the following and respond with only the final answer:70+93=,53
Solve the following and respond with only the final answer:77-82=,Solve the following and respond with only the final answer:77-42=,159
Solve the following and respond with only the final answer:88+55=,Solve the following and respond with only the final answer:88+76=,33
Solve the following and respond with only the final answer:51-52=,Solve the following and respond with only the final answer:51-80=,103
Solve the following and respond with only the final answer:81+52=,Solve the following and respond with only the final answer:81+91=,29
Solve the following and respond with only the final answer:72-69=,Solve the following and respond with only the final answer:72-46=,141
Solve the following and respond with only the final answer:89+41=,Solve the following and respond with only the final answer:89+82=,48
Solve the following and respond with only the final answer:69-93=,Solve the following and respond with only the final answer:69-76=,162
Solve the following and respond with only the final answer:63+35=,Solve the following and respond with only the final answer:63+66=,28
Solve the following and respond with only the final answer:56-11=,Solve the following and respond with only the final answer:56-49=,67
Solve the following and respond with only the final answer:75+27=,Solve the following and respond with only the final answer:75+41=,48
Solve the following and respond with only the final answer:27-59=,Solve the following and respond with only the final answer:27-67=,86
Solve the following and respond with only the final answer:11+10=,Solve the following and respond with only the final answer:11+80=,1
Solve the following and respond with only the final answer:37-57=,Solve the following and respond with only the final answer:37-69=,94
Solve the following and respond with only the final answer:77+32=,Solve the following and respond with only the final answer:77+22=,45
Solve the following and respond with only the final answer:11-57=,Solve the following and respond with only the final answer:11-67=,68
Solve the following and respond with only the final answer:98+40=,Solve the following and respond with only the final answer:98+35=,58
Solve the following and respond with only the final answer:37-22=,Solve the following and respond with only the final answer:37-70=,59
Solve the following and respond with only the final answer:57+29=,Solve the following and respond with only the final answer:57+34=,28
Solve the following and respond with only the final answer:80-65=,Solve the following and respond with only the final answer:80-59=,145
Solve the following and respond with only the final answer:79+18=,Solve the following and respond with only the final answer:79+48=,61
Solve the following and respond with only the final answer:80-45=,Solve the following and respond with only the final answer:80-29=,125
Solve the following and respond with only the final answer:36+34=,Solve the following and respond with only the final answer:36+75=,2
Solve the following and respond with only the final answer:79-59=,Solve the following and respond with only the final answer:79-25=,138
Solve the following and respond with only the final answer:89+86=,Solve the following and respond with only the final answer:89+37=,3
Solve the following and respond with only the final answer:35-84=,Solve the following and respond with only the final answer:35-25=,119
Solve the following and respond with only the final answer:76+53=,Solve the following and respond with only the final answer:76+22=,23
Solve the following and respond with only the final answer:30-84=,Solve the following and respond with only the final answer:30-77=,114
Solve the following and respond with only the final answer:71+26=,Solve the following and respond with only the final answer:71+63=,45
Solve the following and respond with only the final answer:26-73=,Solve the following and respond with only the final answer:26-40=,99
Solve the following and respond with only the final answer:56+34=,Solve the following and respond with only the final answer:56+85=,22
Solve the following and respond with only the final answer:72-15=,Solve the following and respond with only the final answer:72-96=,87
Solve the following and respond with only the final answer:87+32=,Solve the following and respond with only the final answer:87+86=,55
Solve the following and respond with only the final answer:82-90=,Solve the following and respond with only the final answer:82-58=,172
Solve the following and respond with only the final answer:97+32=,Solve the following and respond with only the final answer:97+36=,65
Solve the following and respond with only the final answer:19-57=,Solve the following and respond with only the final answer:19-31=,76
Solve the following and respond with only the final answer:58+51=,Solve the following and respond with only the final answer:58+18=,7
Solve the following and respond with only the final answer:54-69=,Solve the following and respond with only the final answer:54-93=,123
Solve the following and respond with only the final answer:88+52=,Solve the following and respond with only the final answer:88+39=,36
Solve the following and respond with only the final answer:27-73=,Solve the following and respond with only the final answer:27-41=,100
Solve the following and respond with only the final answer:83+76=,Solve the following and respond with only the final answer:83+90=,7
Solve the following and respond with only the final answer:84-92=,Solve the following and respond with only the final answer:84-65=,176
Solve the following and respond with only the final answer:57+21=,Solve the following and respond with only the final answer:57+69=,36
Solve the following and respond with only the final answer:68-50=,Solve the following and respond with only the final answer:68-23=,118
Solve the following and respond with only the final answer:17+13=,Solve the following and respond with only the final answer:17+73=,4
Solve the following and respond with only the final answer:70-73=,Solve the following and respond with only the final answer:70-93=,143
Solve the following and respond with only the final answer:82+51=,Solve the following and respond with only the final answer:82+97=,31
Solve the following and respond with only the final answer:26-66=,Solve the following and respond with only the final answer:26-32=,92
Solve the following and respond with only the final answer:40+21=,Solve the following and respond with only the final answer:40+23=,19
Solve the following and respond with only the final answer:22-12=,Solve the following and respond with only the final answer:22-24=,34
Solve the following and respond with only the final answer:73+12=,Solve the following and respond with only the final answer:73+20=,61
Solve the following and respond with only the final answer:24-10=,Solve the following and respond with only the final answer:24-26=,34
Solve the following and respond with only the final answer:80+58=,Solve the following and respond with only the final answer:80+15=,22
Solve the following and respond with only the final answer:38-54=,Solve the following and respond with only the final answer:38-68=,92
Solve the following and respond with only the final answer:76+19=,Solve the following and respond with only the final answer:76+25=,57
Solve the following and respond with only the final answer:55-85=,Solve the following and respond with only the final answer:55-18=,140
Solve the following and respond with only the final answer:83+19=,Solve the following and respond with only the final answer:83+42=,64
Solve the following and respond with only the final answer:11-14=,Solve the following and respond with only the final answer:11-27=,25
Solve the following and respond with only the final answer:87+11=,Solve the following and respond with only the final answer:87+61=,76
Solve the following and respond with only the final answer:16-27=,Solve the following and respond with only the final answer:16-90=,43
Solve the following and respond with only the final answer:82+69=,Solve the following and respond with only the final answer:82+12=,13
Solve the following and respond with only the final answer:98-70=,Solve the following and respond with only the final answer:98-95=,168
Solve the following and respond with only the final answer:83+11=,Solve the following and respond with only the final answer:83+25=,72
Solve the following and respond with only the final answer:72-84=,Solve the following and respond with only the final answer:72-33=,156
Solve the following and respond with only the final answer:33+10=,Solve the following and respond with only the final answer:33+99=,23
Solve the following and respond with only the final answer:24-57=,Solve the following and respond with only the final answer:24-60=,81
Solve the following and respond with only the final answer:51+17=,Solve the following and respond with only the final answer:51+54=,34
Solve the following and respond with only the final answer:44-17=,Solve the following and respond with only the final answer:44-35=,61
Solve the following and respond with only the final answer:88+14=,Solve the following and respond with only the final answer:88+62=,74
Solve the following and respond with only the final answer:86-87=,Solve the following and respond with only the final answer:86-63=,173
Solve the following and respond with only the final answer:75+17=,Solve the following and respond with only the final answer:75+24=,58
Solve the following and respond with only the final answer:84-23=,Solve the following and respond with only the final answer:84-17=,107
Solve the following and respond with only the final answer:99+98=,Solve the following and respond with only the final answer:99+79=,1
Solve the following and respond with only the final answer:83-80=,Solve the following and respond with only the final answer:83-68=,163
Solve the following and respond with only the final answer:43+35=,Solve the following and respond with only the final answer:43+77=,8
Solve the following and respond with only the final answer:37-98=,Solve the following and respond with only the final answer:37-44=,135
Solve the following and respond with only the final answer:57+14=,Solve the following and respond with only the final answer:57+83=,43
Solve the following and respond with only the final answer:67-67=,Solve the following and respond with only the final answer:67-89=,134
Solve the following and respond with only the final answer:72+35=,Solve the following and respond with only the final answer:72+20=,37
Solve the following and respond with only the final answer:54-93=,Solve the following and respond with only the final answer:54-14=,147
Solve the following and respond with only the final answer:96+36=,Solve the following and respond with only the final answer:96+18=,60
Solve the following and respond with only the final answer:90-89=,Solve the following and respond with only the final answer:90-33=,179
Solve the following and respond with only the final answer:56+37=,Solve the following and respond with only the final answer:56+52=,19
Solve the following and respond with only the final answer:39-43=,Solve the following and respond with only the final answer:39-47=,82
Solve the following and respond with only the final answer:28+26=,Solve the following and respond with only the final answer:28+71=,2
Solve the following and respond with only the final answer:22-46=,Solve the following and respond with only the final answer:22-38=,68
Solve the following and respond with only the final answer:76+11=,Solve the following and respond with only the final answer:76+35=,65
Solve the following and respond with only the final answer:36-50=,Solve the following and respond with only the final answer:36-34=,86
Solve the following and respond with only the final answer:90+29=,Solve the following and respond with only the final answer:90+71=,61
Solve the following and respond with only the final answer:61-69=,Solve the following and respond with only the final answer:61-74=,130
Solve the following and respond with only the final answer:63+55=,Solve the following and respond with only the final answer:63+77=,8
Solve the following and respond with only the final answer:64-90=,Solve the following and respond with only the final answer:64-15=,154
Solve the following and respond with only the final answer:49+10=,Solve the following and respond with only the final answer:49+22=,39
Solve the following and respond with only the final answer:26-44=,Solve the following and respond with only the final answer:26-80=,70
Solve the following and respond with only the final answer:94+80=,Solve the following and respond with only the final answer:94+46=,14
Solve the following and respond with only the final answer:76-71=,Solve the following and respond with only the final answer:76-59=,147
Solve the following and respond with only the final answer:72+24=,Solve the following and respond with only the final answer:72+57=,48
Solve the following and respond with only the final answer:66-63=,Solve the following and respond with only the final answer:66-15=,129
Solve the following and respond with only the final answer:57+45=,Solve the following and respond with only the final answer:57+90=,12
Solve the following and respond with only the final answer:59-84=,Solve the following and respond with only the final answer:59-30=,143
Solve the following and respond with only the final answer:29+20=,Solve the following and respond with only the final answer:29+23=,9
Solve the following and respond with only the final answer:61-40=,Solve the following and respond with only the final answer:61-10=,101
Solve the following and respond with only the final answer:63+30=,Solve the following and respond with only the final answer:63+76=,33
Solve the following and respond with only the final answer:44-76=,Solve the following and respond with only the final answer:44-85=,120
Solve the following and respond with only the final answer:94+56=,Solve the following and respond with only the final answer:94+99=,38
Solve the following and respond with only the final answer:66-10=,Solve the following and respond with only the final answer:66-12=,76
Solve the following and respond with only the final answer:71+11=,Solve the following and respond with only the final answer:71+83=,60
Solve the following and respond with only the final answer:57-57=,Solve the following and respond with only the final answer:57-65=,114
Solve the following and respond with only the final answer:75+60=,Solve the following and respond with only the final answer:75+14=,15
Solve the following and respond with only the final answer:57-36=,Solve the following and respond with only the final answer:57-45=,93
Solve the following and respond with only the final answer:60+17=,Solve the following and respond with only the final answer:60+47=,43
Solve the following and respond with only the final answer:52-41=,Solve the following and respond with only the final answer:52-78=,93
Solve the following and respond with only the final answer:87+58=,Solve the following and respond with only the final answer:87+63=,29
Solve the following and respond with only the final answer:74-71=,Solve the following and respond with only the final answer:74-25=,145
Solve the following and respond with only the final answer:88+84=,Solve the following and respond with only the final answer:88+47=,4
Solve the following and respond with only the final answer:77-98=,Solve the following and respond with only the final answer:77-32=,175
Solve the following and respond with only the final answer:43+30=,Solve the following and respond with only the final answer:43+21=,13
Solve the following and respond with only the final answer:60-87=,Solve the following and respond with only the final answer:60-84=,147
Solve the following and respond with only the final answer:95+72=,Solve the following and respond with only the final answer:95+13=,23
Solve the following and respond with only the final answer:39-18=,Solve the following and respond with only the final answer:39-98=,57
Solve the following and respond with only the final answer:57+33=,Solve the following and respond with only the final answer:57+45=,24
Solve the following and respond with only the final answer:15-24=,Solve the following and respond with only the final answer:15-88=,39
Solve the following and respond with only the final answer:43+36=,Solve the following and respond with only the final answer:43+52=,7
Solve the following and respond with only the final answer:19-12=,Solve the following and respond with only the final answer:19-35=,31
Solve the following and respond with only the final answer:24+17=,Solve the following and respond with only the final answer:24+33=,7
Solve the following and respond with only the final answer:67-80=,Solve the following and respond with only the final answer:67-29=,147
Solve the following and respond with only the final answer:71+51=,Solve the following and respond with only the final answer:71+22=,20
Solve the following and respond with only the final answer:34-76=,Solve the following and respond with only the final answer:34-18=,110
Solve the following and respond with only the final answer:94+64=,Solve the following and respond with only the final answer:94+98=,30
Solve the following and respond with only the final answer:78-25=,Solve the following and respond with only the final answer:78-76=,103
Solve the following and respond with only the final answer:50+24=,Solve the following and respond with only the final answer:50+12=,26
Solve the following and respond with only the final answer:13-31=,Solve the following and respond with only the final answer:13-71=,44
Solve the following and respond with only the final answer:91+19=,Solve the following and respond with only the final answer:91+77=,72
Solve the following and respond with only the final answer:97-65=,Solve the following and respond with only the final answer:97-45=,162
Solve the following and respond with only the final answer:65+19=,Solve the following and respond with only the final answer:65+91=,46
Solve the following and respond with only the final answer:42-92=,Solve the following and respond with only the final answer:42-78=,134
Solve the following and respond with only the final answer:53+42=,Solve the following and respond with only the final answer:53+84=,11
Solve the following and respond with only the final answer:46-44=,Solve the following and respond with only the final answer:46-42=,90
Solve the following and respond with only the final answer:80+32=,Solve the following and respond with only the final answer:80+62=,48
Solve the following and respond with only the final answer:59-43=,Solve the following and respond with only the final answer:59-99=,102
Solve the following and respond with only the final answer:43+25=,Solve the following and respond with only the final answer:43+94=,18
Solve the following and respond with only the final answer:39-82=,Solve the following and respond with only the final answer:39-34=,121
Solve the following and respond with only the final answer:53+39=,Solve the following and respond with only the final answer:53+47=,14
Solve the following and respond with only the final answer:62-40=,Solve the following and respond with only the final answer:62-78=,102
Solve the following and respond with only the final answer:54+33=,Solve the following and respond with only the final answer:54+78=,21
Solve the following and respond with only the final answer:67-51=,Solve the following and respond with only the final answer:67-70=,118
Solve the following and respond with only the final answer:82+27=,Solve the following and respond with only the final answer:82+81=,55
