split,prompt,answer,corrupted_prompt
train,Solve the following and respond with only the final answer: What is 59 plus 65?,124,Solve the following and respond with only the final answer: What is 59 plus 17?
train,Solve the following and respond with only the final answer: 95+77=,172,Solve the following and respond with only the final answer: 95+79=
train,Solve the following and respond with only the final answer: 73+15=,88,Solve the following and respond with only the final answer: 73+20=
train,Solve the following and respond with only the final answer: What is 73 plus 59?,132,Solve the following and respond with only the final answer: What is 73 plus 68?
train,Solve the following and respond with only the final answer: What is 83 plus 36?,119,Solve the following and respond with only the final answer: What is 83 plus 67?
train,Solve the following and respond with only the final answer: 33+82=,115,Solve the following and respond with only the final answer: 33+72=
train,Solve the following and respond with only the final answer: What is 17 plus 16?,33,Solve the following and respond with only the final answer: What is 17 plus 76?
train,Solve the following and respond with only the final answer: 75+75=,150,Solve the following and respond with only the final answer: 75+53=
train,Solve the following and respond with only the final answer: 98+98=,196,Solve the following and respond with only the final answer: 98+43=
train,Solve the following and respond with only the final answer: 11+63=,74,Solve the following and respond with only the final answer: 11+22=
train,Solve the following and respond with only the final answer: 66+11=,77,Solve the following and respond with only the final answer: 66+65=
train,Solve the following and respond with only the final answer: What is 88 plus 99?,187,Solve the following and respond with only the final answer: What is 88 plus 74?
train,Solve the following and respond with only the final answer: 49+48=,97,Solve the following and respond with only the final answer: 49+81=
train,Solve the following and respond with only the final answer: 48+33=,81,Solve the following and respond with only the final answer: 48+74=
train,Solve the following and respond with only the final answer: What is 98 plus 89?,187,Solve the following and respond with only the final answer: What is 98 plus 93?
train,Solve the following and respond with only the final answer: What is 16 plus 37?,53,Solve the following and respond with only the final answer: What is 16 plus 14?
train,Solve the following and respond with only the final answer: 42+47=,89,Solve the following and respond with only the final answer: 42+10=
train,Solve the following and respond with only the final answer: What is 24 plus 22?,46,Solve the following and respond with only the final answer: What is 24 plus 14?
train,Solve the following and respond with only the final answer: 46+51=,97,Solve the following and respond with only the final answer: 46+16=
train,Solve the following and respond with only the final answer: 62+16=,78,Solve the following and respond with only the final answer: 62+68=
train,Solve the following and respond with only the final answer: 22+77=,99,Solve the following and respond with only the final answer: 22+22=
train,Solve the following and respond with only the final answer: What is 31 plus 64?,95,Solve the following and respond with only the final answer: What is 31 plus 22?
train,Solve the following and respond with only the final answer: 98+34=,132,Solve the following and respond with only the final answer: 98+28=
test,Solve the following and respond with only the final answer: 30+24=,54,Solve the following and respond with only the final answer: 30+62=
train,Solve the following and respond with only the final answer: 77+41=,118,Solve the following and respond with only the final answer: 77+67=
train,Solve the following and respond with only the final answer: What is 41 plus 47?,88,Solve the following and respond with only the final answer: What is 41 plus 46?
train,Solve the following and respond with only the final answer: 32+84=,116,Solve the following and respond with only the final answer: 32+35=
train,Solve the following and respond with only the final answer: What is 63 plus 94?,157,Solve the following and respond with only the final answer: What is 63 plus 86?
train,Solve the following and respond with only the final answer: What is 46 plus 90?,136,Solve the following and respond with only the final answer: What is 46 plus 59?
train,Solve the following and respond with only the final answer: 74+40=,114,Solve the following and respond with only the final answer: 74+11=
train,Solve the following and respond with only the final answer: 72+35=,107,Solve the following and respond with only the final answer: 72+74=
train,Solve the following and respond with only the final answer: What is 11 plus 39?,50,Solve the following and respond with only the final answer: What is 11 plus 22?
train,Solve the following and respond with only the final answer: 43+83=,126,Solve the following and respond with only the final answer: 43+72=
train,Solve the following and respond with only the final answer: 22+34=,56,Solve the following and respond with only the final answer: 22+32=
train,Solve the following and respond with only the final answer: 92+45=,137,Solve the following and respond with only the final answer: 92+79=
train,Solve the following and respond with only the final answer: What is 81 plus 77?,158,Solve the following and respond with only the final answer: What is 81 plus 38?
train,Solve the following and respond with only the final answer: 92+98=,190,Solve the following and respond with only the final answer: 92+39=
train,Solve the following and respond with only the final answer: What is 83 plus 75?,158,Solve the following and respond with only the final answer: What is 83 plus 42?
train,Solve the following and respond with only the final answer: What is 68 plus 94?,162,Solve the following and respond with only the final answer: What is 68 plus 28?
train,Solve the following and respond with only the final answer: 41+69=,110,Solve the following and respond with only the final answer: 41+37=
test,Solve the following and respond with only the final answer: 38+43=,81,Solve the following and respond with only the final answer: 38+44=
train,Solve the following and respond with only the final answer: What is 27 plus 84?,111,Solve the following and respond with only the final answer: What is 27 plus 95?
train,Solve the following and respond with only the final answer: What is 53 plus 35?,88,Solve the following and respond with only the final answer: What is 53 plus 47?
train,Solve the following and respond with only the final answer: 97+71=,168,Solve the following and respond with only the final answer: 97+55=
train,Solve the following and respond with only the final answer: 67+43=,110,Solve the following and respond with only the final answer: 67+67=
train,Solve the following and respond with only the final answer: What is 64 plus 24?,88,Solve the following and respond with only the final answer: What is 64 plus 76?
train,Solve the following and respond with only the final answer: 86+81=,167,Solve the following and respond with only the final answer: 86+44=
