clean,corrupted,answer
Solve the following and respond with only the final answer:23-17=,Solve the following and respond with only the final answer:23-76=,6
Solve the following and respond with only the final answer:32-28=,Solve the following and respond with only the final answer:32-51=,4
Solve the following and respond with only the final answer:90-69=,Solve the following and respond with only the final answer:90-36=,21
Solve the following and respond with only the final answer:58-25=,Solve the following and respond with only the final answer:58-100=,33
Solve the following and respond with only the final answer:51-25=,Solve the following and respond with only the final answer:51-70=,26
Solve the following and respond with only the final answer:37-10=,Solve the following and respond with only the final answer:37-64=,27
Solve the following and respond with only the final answer:63-42=,Solve the following and respond with only the final answer:63-41=,21
Solve the following and respond with only the final answer:73-51=,Solve the following and respond with only the final answer:73-88=,22
Solve the following and respond with only the final answer:98-59=,Solve the following and respond with only the final answer:98-14=,39
Solve the following and respond with only the final answer:59-21=,Solve the following and respond with only the final answer:59-92=,38
Solve the following and respond with only the final answer:45-14=,Solve the following and respond with only the final answer:45-45=,31
Solve the following and respond with only the final answer:15-10=,Solve the following and respond with only the final answer:15-54=,5
Solve the following and respond with only the final answer:82-62=,Solve the following and respond with only the final answer:82-71=,20
Solve the following and respond with only the final answer:60-51=,Solve the following and respond with only the final answer:60-52=,9
Solve the following and respond with only the final answer:53-47=,Solve the following and respond with only the final answer:53-35=,6
Solve the following and respond with only the final answer:54-18=,Solve the following and respond with only the final answer:54-15=,36
Solve the following and respond with only the final answer:93-83=,Solve the following and respond with only the final answer:93-11=,10
Solve the following and respond with only the final answer:85-57=,Solve the following and respond with only the final answer:85-13=,28
Solve the following and respond with only the final answer:85-69=,Solve the following and respond with only the final answer:85-32=,16
Solve the following and respond with only the final answer:78-20=,Solve the following and respond with only the final answer:78-53=,58
Solve the following and respond with only the final answer:98-54=,Solve the following and respond with only the final answer:98-97=,44
Solve the following and respond with only the final answer:93-37=,Solve the following and respond with only the final answer:93-99=,56
Solve the following and respond with only the final answer:93-62=,Solve the following and respond with only the final answer:93-54=,31
Solve the following and respond with only the final answer:83-14=,Solve the following and respond with only the final answer:83-58=,69
Solve the following and respond with only the final answer:80-36=,Solve the following and respond with only the final answer:80-72=,44
Solve the following and respond with only the final answer:97-73=,Solve the following and respond with only the final answer:97-14=,24
Solve the following and respond with only the final answer:77-39=,Solve the following and respond with only the final answer:77-100=,38
Solve the following and respond with only the final answer:45-10=,Solve the following and respond with only the final answer:45-19=,35
Solve the following and respond with only the final answer:76-51=,Solve the following and respond with only the final answer:76-10=,25
Solve the following and respond with only the final answer:63-41=,Solve the following and respond with only the final answer:63-34=,22
Solve the following and respond with only the final answer:55-26=,Solve the following and respond with only the final answer:55-25=,29
Solve the following and respond with only the final answer:78-73=,Solve the following and respond with only the final answer:78-21=,5
Solve the following and respond with only the final answer:89-20=,Solve the following and respond with only the final answer:89-92=,69
Solve the following and respond with only the final answer:61-52=,Solve the following and respond with only the final answer:61-70=,9
Solve the following and respond with only the final answer:23-16=,Solve the following and respond with only the final answer:23-81=,7
Solve the following and respond with only the final answer:99-28=,Solve the following and respond with only the final answer:99-27=,71
Solve the following and respond with only the final answer:80-56=,Solve the following and respond with only the final answer:80-30=,24
Solve the following and respond with only the final answer:17-10=,Solve the following and respond with only the final answer:17-19=,7
Solve the following and respond with only the final answer:54-14=,Solve the following and respond with only the final answer:54-88=,40
Solve the following and respond with only the final answer:23-23=,Solve the following and respond with only the final answer:23-18=,0
Solve the following and respond with only the final answer:86-42=,Solve the following and respond with only the final answer:86-30=,44
Solve the following and respond with only the final answer:48-18=,Solve the following and respond with only the final answer:48-83=,30
Solve the following and respond with only the final answer:64-13=,Solve the following and respond with only the final answer:64-29=,51
Solve the following and respond with only the final answer:89-11=,Solve the following and respond with only the final answer:89-31=,78
Solve the following and respond with only the final answer:28-24=,Solve the following and respond with only the final answer:28-96=,4
Solve the following and respond with only the final answer:95-72=,Solve the following and respond with only the final answer:95-83=,23
Solve the following and respond with only the final answer:70-10=,Solve the following and respond with only the final answer:70-53=,60
Solve the following and respond with only the final answer:93-66=,Solve the following and respond with only the final answer:93-68=,27
Solve the following and respond with only the final answer:35-24=,Solve the following and respond with only the final answer:35-22=,11
Solve the following and respond with only the final answer:96-96=,Solve the following and respond with only the final answer:96-78=,0
Solve the following and respond with only the final answer:31-31=,Solve the following and respond with only the final answer:31-93=,0
Solve the following and respond with only the final answer:50-40=,Solve the following and respond with only the final answer:50-12=,10
Solve the following and respond with only the final answer:35-19=,Solve the following and respond with only the final answer:35-33=,16
Solve the following and respond with only the final answer:57-27=,Solve the following and respond with only the final answer:57-76=,30
Solve the following and respond with only the final answer:88-43=,Solve the following and respond with only the final answer:88-27=,45
Solve the following and respond with only the final answer:86-48=,Solve the following and respond with only the final answer:86-69=,38
Solve the following and respond with only the final answer:77-30=,Solve the following and respond with only the final answer:77-68=,47
Solve the following and respond with only the final answer:88-16=,Solve the following and respond with only the final answer:88-25=,72
Solve the following and respond with only the final answer:23-18=,Solve the following and respond with only the final answer:23-94=,5
Solve the following and respond with only the final answer:71-58=,Solve the following and respond with only the final answer:71-67=,13
Solve the following and respond with only the final answer:29-22=,Solve the following and respond with only the final answer:29-41=,7
Solve the following and respond with only the final answer:82-30=,Solve the following and respond with only the final answer:82-19=,52
Solve the following and respond with only the final answer:98-41=,Solve the following and respond with only the final answer:98-17=,57
Solve the following and respond with only the final answer:32-10=,Solve the following and respond with only the final answer:32-12=,22
Solve the following and respond with only the final answer:32-17=,Solve the following and respond with only the final answer:32-78=,15
Solve the following and respond with only the final answer:89-35=,Solve the following and respond with only the final answer:89-91=,54
Solve the following and respond with only the final answer:76-49=,Solve the following and respond with only the final answer:76-79=,27
Solve the following and respond with only the final answer:52-21=,Solve the following and respond with only the final answer:52-57=,31
Solve the following and respond with only the final answer:25-19=,Solve the following and respond with only the final answer:25-12=,6
Solve the following and respond with only the final answer:58-44=,Solve the following and respond with only the final answer:58-84=,14
Solve the following and respond with only the final answer:75-66=,Solve the following and respond with only the final answer:75-76=,9
Solve the following and respond with only the final answer:99-95=,Solve the following and respond with only the final answer:99-68=,4
Solve the following and respond with only the final answer:94-51=,Solve the following and respond with only the final answer:94-87=,43
Solve the following and respond with only the final answer:61-41=,Solve the following and respond with only the final answer:61-34=,20
Solve the following and respond with only the final answer:62-10=,Solve the following and respond with only the final answer:62-56=,52
Solve the following and respond with only the final answer:81-43=,Solve the following and respond with only the final answer:81-78=,38
Solve the following and respond with only the final answer:89-41=,Solve the following and respond with only the final answer:89-32=,48
Solve the following and respond with only the final answer:62-47=,Solve the following and respond with only the final answer:62-65=,15
Solve the following and respond with only the final answer:87-13=,Solve the following and respond with only the final answer:87-54=,74
Solve the following and respond with only the final answer:99-71=,Solve the following and respond with only the final answer:99-12=,28
Solve the following and respond with only the final answer:49-36=,Solve the following and respond with only the final answer:49-87=,13
Solve the following and respond with only the final answer:71-20=,Solve the following and respond with only the final answer:71-31=,51
Solve the following and respond with only the final answer:61-21=,Solve the following and respond with only the final answer:61-46=,40
Solve the following and respond with only the final answer:86-54=,Solve the following and respond with only the final answer:86-24=,32
Solve the following and respond with only the final answer:69-31=,Solve the following and respond with only the final answer:69-63=,38
Solve the following and respond with only the final answer:85-37=,Solve the following and respond with only the final answer:85-45=,48
Solve the following and respond with only the final answer:64-55=,Solve the following and respond with only the final answer:64-38=,9
Solve the following and respond with only the final answer:59-49=,Solve the following and respond with only the final answer:59-47=,10
Solve the following and respond with only the final answer:56-24=,Solve the following and respond with only the final answer:56-52=,32
Solve the following and respond with only the final answer:49-32=,Solve the following and respond with only the final answer:49-11=,17
Solve the following and respond with only the final answer:64-52=,Solve the following and respond with only the final answer:64-81=,12
