clean,corrupted,answer
Solve the following and respond with only the final answer: 14+26=,Solve the following and respond with only the final answer: 14+95=,40
Solve the following and respond with only the final answer: 74+98=,Solve the following and respond with only the final answer: 74+91=,172
Solve the following and respond with only the final answer: 22+22=,Solve the following and respond with only the final answer: 22+67=,44
Solve the following and respond with only the final answer: 67+91=,Solve the following and respond with only the final answer: 67+42=,158
Solve the following and respond with only the final answer: 92+84=,Solve the following and respond with only the final answer: 92+65=,176
Solve the following and respond with only the final answer: 97+51=,Solve the following and respond with only the final answer: 97+75=,148
Solve the following and respond with only the final answer: 66+36=,Solve the following and respond with only the final answer: 66+51=,102
Solve the following and respond with only the final answer: 47+65=,Solve the following and respond with only the final answer: 47+54=,112
Solve the following and respond with only the final answer: 59+46=,Solve the following and respond with only the final answer: 59+79=,105
Solve the following and respond with only the final answer: 49+48=,Solve the following and respond with only the final answer: 49+32=,97
Solve the following and respond with only the final answer: 14+36=,Solve the following and respond with only the final answer: 14+37=,50
Solve the following and respond with only the final answer: 32+20=,Solve the following and respond with only the final answer: 32+33=,52
Solve the following and respond with only the final answer: 80+77=,Solve the following and respond with only the final answer: 80+91=,157
Solve the following and respond with only the final answer: 18+77=,Solve the following and respond with only the final answer: 18+37=,95
Solve the following and respond with only the final answer: 22+38=,Solve the following and respond with only the final answer: 22+39=,60
Solve the following and respond with only the final answer: 42+94=,Solve the following and respond with only the final answer: 42+71=,136
Solve the following and respond with only the final answer: 90+63=,Solve the following and respond with only the final answer: 90+53=,153
Solve the following and respond with only the final answer: 76+94=,Solve the following and respond with only the final answer: 76+15=,170
Solve the following and respond with only the final answer: 17+29=,Solve the following and respond with only the final answer: 17+68=,46
Solve the following and respond with only the final answer: 82+42=,Solve the following and respond with only the final answer: 82+65=,124
Solve the following and respond with only the final answer: 11+22=,Solve the following and respond with only the final answer: 11+30=,33
Solve the following and respond with only the final answer: 57+35=,Solve the following and respond with only the final answer: 57+65=,92
Solve the following and respond with only the final answer: 94+48=,Solve the following and respond with only the final answer: 94+15=,142
Solve the following and respond with only the final answer: 12+16=,Solve the following and respond with only the final answer: 12+90=,28
Solve the following and respond with only the final answer: 57+34=,Solve the following and respond with only the final answer: 57+20=,91
Solve the following and respond with only the final answer: 62+70=,Solve the following and respond with only the final answer: 62+91=,132
Solve the following and respond with only the final answer: 28+12=,Solve the following and respond with only the final answer: 28+90=,40
Solve the following and respond with only the final answer: 78+83=,Solve the following and respond with only the final answer: 78+29=,161
Solve the following and respond with only the final answer: 50+51=,Solve the following and respond with only the final answer: 50+80=,101
Solve the following and respond with only the final answer: 67+37=,Solve the following and respond with only the final answer: 67+99=,104
Solve the following and respond with only the final answer: 32+82=,Solve the following and respond with only the final answer: 32+87=,114
Solve the following and respond with only the final answer: 54+44=,Solve the following and respond with only the final answer: 54+52=,98
Solve the following and respond with only the final answer: 64+16=,Solve the following and respond with only the final answer: 64+20=,80
Solve the following and respond with only the final answer: 25+44=,Solve the following and respond with only the final answer: 25+93=,69
Solve the following and respond with only the final answer: 48+64=,Solve the following and respond with only the final answer: 48+65=,112
Solve the following and respond with only the final answer: 33+64=,Solve the following and respond with only the final answer: 33+39=,97
Solve the following and respond with only the final answer: 80+60=,Solve the following and respond with only the final answer: 80+37=,140
Solve the following and respond with only the final answer: 18+11=,Solve the following and respond with only the final answer: 18+44=,29
Solve the following and respond with only the final answer: 42+85=,Solve the following and respond with only the final answer: 42+53=,127
Solve the following and respond with only the final answer: 87+15=,Solve the following and respond with only the final answer: 87+58=,102
Solve the following and respond with only the final answer: 29+55=,Solve the following and respond with only the final answer: 29+69=,84
Solve the following and respond with only the final answer: 55+90=,Solve the following and respond with only the final answer: 55+77=,145
Solve the following and respond with only the final answer: 36+33=,Solve the following and respond with only the final answer: 36+40=,69
Solve the following and respond with only the final answer: 27+76=,Solve the following and respond with only the final answer: 27+42=,103
Solve the following and respond with only the final answer: 20+99=,Solve the following and respond with only the final answer: 20+50=,119
Solve the following and respond with only the final answer: 52+70=,Solve the following and respond with only the final answer: 52+56=,122
Solve the following and respond with only the final answer: 30+30=,Solve the following and respond with only the final answer: 30+38=,60
Solve the following and respond with only the final answer: 60+52=,Solve the following and respond with only the final answer: 60+65=,112
Solve the following and respond with only the final answer: 21+39=,Solve the following and respond with only the final answer: 21+77=,60
Solve the following and respond with only the final answer: 41+70=,Solve the following and respond with only the final answer: 41+92=,111
Solve the following and respond with only the final answer: 17+74=,Solve the following and respond with only the final answer: 17+12=,91
Solve the following and respond with only the final answer: 87+85=,Solve the following and respond with only the final answer: 87+41=,172
Solve the following and respond with only the final answer: 86+16=,Solve the following and respond with only the final answer: 86+50=,102
Solve the following and respond with only the final answer: 42+75=,Solve the following and respond with only the final answer: 42+61=,117
Solve the following and respond with only the final answer: 85+95=,Solve the following and respond with only the final answer: 85+92=,180
Solve the following and respond with only the final answer: 58+62=,Solve the following and respond with only the final answer: 58+22=,120
Solve the following and respond with only the final answer: 95+65=,Solve the following and respond with only the final answer: 95+13=,160
Solve the following and respond with only the final answer: 45+49=,Solve the following and respond with only the final answer: 45+68=,94
Solve the following and respond with only the final answer: 31+27=,Solve the following and respond with only the final answer: 31+32=,58
Solve the following and respond with only the final answer: 64+92=,Solve the following and respond with only the final answer: 64+58=,156
Solve the following and respond with only the final answer: 89+94=,Solve the following and respond with only the final answer: 89+70=,183
Solve the following and respond with only the final answer: 41+86=,Solve the following and respond with only the final answer: 41+40=,127
Solve the following and respond with only the final answer: 85+69=,Solve the following and respond with only the final answer: 85+32=,154
Solve the following and respond with only the final answer: 20+92=,Solve the following and respond with only the final answer: 20+67=,112
Solve the following and respond with only the final answer: 96+98=,Solve the following and respond with only the final answer: 96+17=,194
Solve the following and respond with only the final answer: 29+69=,Solve the following and respond with only the final answer: 29+62=,98
Solve the following and respond with only the final answer: 11+31=,Solve the following and respond with only the final answer: 11+13=,42
Solve the following and respond with only the final answer: 90+61=,Solve the following and respond with only the final answer: 90+98=,151
Solve the following and respond with only the final answer: 58+66=,Solve the following and respond with only the final answer: 58+16=,124
Solve the following and respond with only the final answer: 59+31=,Solve the following and respond with only the final answer: 59+47=,90
Solve the following and respond with only the final answer: 91+93=,Solve the following and respond with only the final answer: 91+32=,184
Solve the following and respond with only the final answer: 76+33=,Solve the following and respond with only the final answer: 76+26=,109
Solve the following and respond with only the final answer: 96+47=,Solve the following and respond with only the final answer: 96+65=,143
Solve the following and respond with only the final answer: 38+46=,Solve the following and respond with only the final answer: 38+72=,84
Solve the following and respond with only the final answer: 86+27=,Solve the following and respond with only the final answer: 86+55=,113
Solve the following and respond with only the final answer: 43+74=,Solve the following and respond with only the final answer: 43+69=,117
Solve the following and respond with only the final answer: 52+82=,Solve the following and respond with only the final answer: 52+99=,134
Solve the following and respond with only the final answer: 97+49=,Solve the following and respond with only the final answer: 97+13=,146
Solve the following and respond with only the final answer: 43+53=,Solve the following and respond with only the final answer: 43+48=,96
Solve the following and respond with only the final answer: 15+15=,Solve the following and respond with only the final answer: 15+51=,30
Solve the following and respond with only the final answer: 49+97=,Solve the following and respond with only the final answer: 49+73=,146
Solve the following and respond with only the final answer: 56+45=,Solve the following and respond with only the final answer: 56+66=,101
Solve the following and respond with only the final answer: 87+94=,Solve the following and respond with only the final answer: 87+34=,181
Solve the following and respond with only the final answer: 26+62=,Solve the following and respond with only the final answer: 26+58=,88
Solve the following and respond with only the final answer: 22+33=,Solve the following and respond with only the final answer: 22+70=,55
Solve the following and respond with only the final answer: 61+52=,Solve the following and respond with only the final answer: 61+67=,113
Solve the following and respond with only the final answer: 51+45=,Solve the following and respond with only the final answer: 51+32=,96
Solve the following and respond with only the final answer: 92+94=,Solve the following and respond with only the final answer: 92+79=,186
Solve the following and respond with only the final answer: 89+66=,Solve the following and respond with only the final answer: 89+76=,155
Solve the following and respond with only the final answer: 86+74=,Solve the following and respond with only the final answer: 86+45=,160
Solve the following and respond with only the final answer: 18+28=,Solve the following and respond with only the final answer: 18+78=,46
Solve the following and respond with only the final answer: 74+21=,Solve the following and respond with only the final answer: 74+64=,95
Solve the following and respond with only the final answer: 88+52=,Solve the following and respond with only the final answer: 88+82=,140
Solve the following and respond with only the final answer: 21+97=,Solve the following and respond with only the final answer: 21+28=,118
Solve the following and respond with only the final answer: 25+30=,Solve the following and respond with only the final answer: 25+21=,55
Solve the following and respond with only the final answer: 65+28=,Solve the following and respond with only the final answer: 65+40=,93
Solve the following and respond with only the final answer: 56+12=,Solve the following and respond with only the final answer: 56+74=,68
Solve the following and respond with only the final answer: 85+20=,Solve the following and respond with only the final answer: 85+80=,105
Solve the following and respond with only the final answer: 22+70=,Solve the following and respond with only the final answer: 22+13=,92
Solve the following and respond with only the final answer: 25+41=,Solve the following and respond with only the final answer: 25+44=,66
Solve the following and respond with only the final answer: 99+60=,Solve the following and respond with only the final answer: 99+81=,159
Solve the following and respond with only the final answer: 98+25=,Solve the following and respond with only the final answer: 98+51=,123
Solve the following and respond with only the final answer: 76+61=,Solve the following and respond with only the final answer: 76+49=,137
Solve the following and respond with only the final answer: 78+13=,Solve the following and respond with only the final answer: 78+44=,91
Solve the following and respond with only the final answer: 87+24=,Solve the following and respond with only the final answer: 87+81=,111
Solve the following and respond with only the final answer: 38+81=,Solve the following and respond with only the final answer: 38+37=,119
Solve the following and respond with only the final answer: 58+72=,Solve the following and respond with only the final answer: 58+56=,130
Solve the following and respond with only the final answer: 21+49=,Solve the following and respond with only the final answer: 21+27=,70
Solve the following and respond with only the final answer: 94+76=,Solve the following and respond with only the final answer: 94+86=,170
Solve the following and respond with only the final answer: 14+71=,Solve the following and respond with only the final answer: 14+29=,85
Solve the following and respond with only the final answer: 65+55=,Solve the following and respond with only the final answer: 65+38=,120
Solve the following and respond with only the final answer: 76+62=,Solve the following and respond with only the final answer: 76+32=,138
Solve the following and respond with only the final answer: 90+97=,Solve the following and respond with only the final answer: 90+64=,187
Solve the following and respond with only the final answer: 49+22=,Solve the following and respond with only the final answer: 49+10=,71
Solve the following and respond with only the final answer: 55+76=,Solve the following and respond with only the final answer: 55+81=,131
Solve the following and respond with only the final answer: 35+86=,Solve the following and respond with only the final answer: 35+58=,121
Solve the following and respond with only the final answer: 52+89=,Solve the following and respond with only the final answer: 52+20=,141
Solve the following and respond with only the final answer: 51+34=,Solve the following and respond with only the final answer: 51+71=,85
Solve the following and respond with only the final answer: 36+23=,Solve the following and respond with only the final answer: 36+13=,59
Solve the following and respond with only the final answer: 55+91=,Solve the following and respond with only the final answer: 55+66=,146
Solve the following and respond with only the final answer: 71+78=,Solve the following and respond with only the final answer: 71+62=,149
Solve the following and respond with only the final answer: 31+83=,Solve the following and respond with only the final answer: 31+64=,114
Solve the following and respond with only the final answer: 26+81=,Solve the following and respond with only the final answer: 26+46=,107
Solve the following and respond with only the final answer: 86+51=,Solve the following and respond with only the final answer: 86+69=,137
Solve the following and respond with only the final answer: 95+90=,Solve the following and respond with only the final answer: 95+86=,185
Solve the following and respond with only the final answer: 62+31=,Solve the following and respond with only the final answer: 62+50=,93
Solve the following and respond with only the final answer: 46+17=,Solve the following and respond with only the final answer: 46+45=,63
Solve the following and respond with only the final answer: 83+85=,Solve the following and respond with only the final answer: 83+36=,168
Solve the following and respond with only the final answer: 52+95=,Solve the following and respond with only the final answer: 52+34=,147
Solve the following and respond with only the final answer: 33+42=,Solve the following and respond with only the final answer: 33+58=,75
Solve the following and respond with only the final answer: 65+34=,Solve the following and respond with only the final answer: 65+68=,99
Solve the following and respond with only the final answer: 63+19=,Solve the following and respond with only the final answer: 63+46=,82
Solve the following and respond with only the final answer: 16+49=,Solve the following and respond with only the final answer: 16+27=,65
Solve the following and respond with only the final answer: 94+53=,Solve the following and respond with only the final answer: 94+46=,147
Solve the following and respond with only the final answer: 84+41=,Solve the following and respond with only the final answer: 84+45=,125
Solve the following and respond with only the final answer: 65+36=,Solve the following and respond with only the final answer: 65+81=,101
Solve the following and respond with only the final answer: 23+47=,Solve the following and respond with only the final answer: 23+46=,70
Solve the following and respond with only the final answer: 71+49=,Solve the following and respond with only the final answer: 71+98=,120
Solve the following and respond with only the final answer: 48+52=,Solve the following and respond with only the final answer: 48+11=,100
Solve the following and respond with only the final answer: 68+87=,Solve the following and respond with only the final answer: 68+10=,155
Solve the following and respond with only the final answer: 58+91=,Solve the following and respond with only the final answer: 58+55=,149
Solve the following and respond with only the final answer: 73+67=,Solve the following and respond with only the final answer: 73+78=,140
Solve the following and respond with only the final answer: 83+46=,Solve the following and respond with only the final answer: 83+61=,129
Solve the following and respond with only the final answer: 66+77=,Solve the following and respond with only the final answer: 66+26=,143
Solve the following and respond with only the final answer: 13+96=,Solve the following and respond with only the final answer: 13+89=,109
Solve the following and respond with only the final answer: 86+48=,Solve the following and respond with only the final answer: 86+53=,134
Solve the following and respond with only the final answer: 56+93=,Solve the following and respond with only the final answer: 56+81=,149
Solve the following and respond with only the final answer: 65+97=,Solve the following and respond with only the final answer: 65+47=,162
Solve the following and respond with only the final answer: 34+57=,Solve the following and respond with only the final answer: 34+42=,91
Solve the following and respond with only the final answer: 37+19=,Solve the following and respond with only the final answer: 37+92=,56
Solve the following and respond with only the final answer: 26+98=,Solve the following and respond with only the final answer: 26+68=,124
Solve the following and respond with only the final answer: 26+70=,Solve the following and respond with only the final answer: 26+92=,96
Solve the following and respond with only the final answer: 52+23=,Solve the following and respond with only the final answer: 52+45=,75
Solve the following and respond with only the final answer: 29+19=,Solve the following and respond with only the final answer: 29+66=,48
Solve the following and respond with only the final answer: 60+22=,Solve the following and respond with only the final answer: 60+80=,82
Solve the following and respond with only the final answer: 20+24=,Solve the following and respond with only the final answer: 20+21=,44
Solve the following and respond with only the final answer: 36+44=,Solve the following and respond with only the final answer: 36+35=,80
Solve the following and respond with only the final answer: 87+23=,Solve the following and respond with only the final answer: 87+18=,110
Solve the following and respond with only the final answer: 57+56=,Solve the following and respond with only the final answer: 57+67=,113
Solve the following and respond with only the final answer: 32+41=,Solve the following and respond with only the final answer: 32+22=,73
Solve the following and respond with only the final answer: 58+92=,Solve the following and respond with only the final answer: 58+68=,150
Solve the following and respond with only the final answer: 48+38=,Solve the following and respond with only the final answer: 48+30=,86
Solve the following and respond with only the final answer: 88+31=,Solve the following and respond with only the final answer: 88+22=,119
Solve the following and respond with only the final answer: 93+15=,Solve the following and respond with only the final answer: 93+86=,108
Solve the following and respond with only the final answer: 59+42=,Solve the following and respond with only the final answer: 59+61=,101
Solve the following and respond with only the final answer: 26+36=,Solve the following and respond with only the final answer: 26+45=,62
Solve the following and respond with only the final answer: 91+75=,Solve the following and respond with only the final answer: 91+26=,166
Solve the following and respond with only the final answer: 22+92=,Solve the following and respond with only the final answer: 22+20=,114
Solve the following and respond with only the final answer: 68+76=,Solve the following and respond with only the final answer: 68+25=,144
Solve the following and respond with only the final answer: 91+19=,Solve the following and respond with only the final answer: 91+98=,110
Solve the following and respond with only the final answer: 27+67=,Solve the following and respond with only the final answer: 27+41=,94
Solve the following and respond with only the final answer: 67+82=,Solve the following and respond with only the final answer: 67+70=,149
Solve the following and respond with only the final answer: 30+27=,Solve the following and respond with only the final answer: 30+10=,57
Solve the following and respond with only the final answer: 11+43=,Solve the following and respond with only the final answer: 11+66=,54
Solve the following and respond with only the final answer: 70+78=,Solve the following and respond with only the final answer: 70+25=,148
Solve the following and respond with only the final answer: 83+17=,Solve the following and respond with only the final answer: 83+63=,100
Solve the following and respond with only the final answer: 61+12=,Solve the following and respond with only the final answer: 61+32=,73
Solve the following and respond with only the final answer: 97+87=,Solve the following and respond with only the final answer: 97+36=,184
Solve the following and respond with only the final answer: 56+55=,Solve the following and respond with only the final answer: 56+99=,111
Solve the following and respond with only the final answer: 14+73=,Solve the following and respond with only the final answer: 14+79=,87
Solve the following and respond with only the final answer: 16+10=,Solve the following and respond with only the final answer: 16+94=,26
Solve the following and respond with only the final answer: 97+69=,Solve the following and respond with only the final answer: 97+46=,166
Solve the following and respond with only the final answer: 91+73=,Solve the following and respond with only the final answer: 91+15=,164
Solve the following and respond with only the final answer: 80+40=,Solve the following and respond with only the final answer: 80+56=,120
Solve the following and respond with only the final answer: 85+15=,Solve the following and respond with only the final answer: 85+51=,100
Solve the following and respond with only the final answer: 79+60=,Solve the following and respond with only the final answer: 79+96=,139
Solve the following and respond with only the final answer: 35+91=,Solve the following and respond with only the final answer: 35+96=,126
Solve the following and respond with only the final answer: 12+55=,Solve the following and respond with only the final answer: 12+23=,67
Solve the following and respond with only the final answer: 69+19=,Solve the following and respond with only the final answer: 69+44=,88
Solve the following and respond with only the final answer: 44+47=,Solve the following and respond with only the final answer: 44+12=,91
Solve the following and respond with only the final answer: 74+74=,Solve the following and respond with only the final answer: 74+96=,148
Solve the following and respond with only the final answer: 32+47=,Solve the following and respond with only the final answer: 32+50=,79
Solve the following and respond with only the final answer: 84+20=,Solve the following and respond with only the final answer: 84+64=,104
Solve the following and respond with only the final answer: 32+89=,Solve the following and respond with only the final answer: 32+23=,121
Solve the following and respond with only the final answer: 72+19=,Solve the following and respond with only the final answer: 72+78=,91
Solve the following and respond with only the final answer: 52+60=,Solve the following and respond with only the final answer: 52+80=,112
Solve the following and respond with only the final answer: 46+35=,Solve the following and respond with only the final answer: 46+10=,81
Solve the following and respond with only the final answer: 96+84=,Solve the following and respond with only the final answer: 96+20=,180
Solve the following and respond with only the final answer: 84+77=,Solve the following and respond with only the final answer: 84+19=,161
Solve the following and respond with only the final answer: 65+66=,Solve the following and respond with only the final answer: 65+58=,131
Solve the following and respond with only the final answer: 19+94=,Solve the following and respond with only the final answer: 19+80=,113
Solve the following and respond with only the final answer: 51+91=,Solve the following and respond with only the final answer: 51+20=,142
Solve the following and respond with only the final answer: 69+55=,Solve the following and respond with only the final answer: 69+99=,124
Solve the following and respond with only the final answer: 17+82=,Solve the following and respond with only the final answer: 17+19=,99
Solve the following and respond with only the final answer: 78+35=,Solve the following and respond with only the final answer: 78+26=,113
Solve the following and respond with only the final answer: 81+57=,Solve the following and respond with only the final answer: 81+20=,138
Solve the following and respond with only the final answer: 31+44=,Solve the following and respond with only the final answer: 31+55=,75
Solve the following and respond with only the final answer: 38+79=,Solve the following and respond with only the final answer: 38+17=,117
Solve the following and respond with only the final answer: 81+39=,Solve the following and respond with only the final answer: 81+57=,120
Solve the following and respond with only the final answer: 79+42=,Solve the following and respond with only the final answer: 79+20=,121
Solve the following and respond with only the final answer: 89+26=,Solve the following and respond with only the final answer: 89+79=,115
Solve the following and respond with only the final answer: 17+22=,Solve the following and respond with only the final answer: 17+35=,39
Solve the following and respond with only the final answer: 69+82=,Solve the following and respond with only the final answer: 69+56=,151
Solve the following and respond with only the final answer: 21+47=,Solve the following and respond with only the final answer: 21+83=,68
Solve the following and respond with only the final answer: 41+56=,Solve the following and respond with only the final answer: 41+57=,97
Solve the following and respond with only the final answer: 97+32=,Solve the following and respond with only the final answer: 97+80=,129
Solve the following and respond with only the final answer: 48+84=,Solve the following and respond with only the final answer: 48+76=,132
Solve the following and respond with only the final answer: 43+32=,Solve the following and respond with only the final answer: 43+44=,75
Solve the following and respond with only the final answer: 77+30=,Solve the following and respond with only the final answer: 77+37=,107
Solve the following and respond with only the final answer: 34+51=,Solve the following and respond with only the final answer: 34+31=,85
Solve the following and respond with only the final answer: 62+83=,Solve the following and respond with only the final answer: 62+24=,145
Solve the following and respond with only the final answer: 28+68=,Solve the following and respond with only the final answer: 28+77=,96
Solve the following and respond with only the final answer: 18+50=,Solve the following and respond with only the final answer: 18+26=,68
Solve the following and respond with only the final answer: 84+68=,Solve the following and respond with only the final answer: 84+38=,152
Solve the following and respond with only the final answer: 54+45=,Solve the following and respond with only the final answer: 54+57=,99
Solve the following and respond with only the final answer: 67+49=,Solve the following and respond with only the final answer: 67+20=,116
Solve the following and respond with only the final answer: 18+57=,Solve the following and respond with only the final answer: 18+91=,75
Solve the following and respond with only the final answer: 69+77=,Solve the following and respond with only the final answer: 69+36=,146
Solve the following and respond with only the final answer: 20+59=,Solve the following and respond with only the final answer: 20+86=,79
Solve the following and respond with only the final answer: 56+35=,Solve the following and respond with only the final answer: 56+99=,91
Solve the following and respond with only the final answer: 32+50=,Solve the following and respond with only the final answer: 32+93=,82
Solve the following and respond with only the final answer: 80+26=,Solve the following and respond with only the final answer: 80+28=,106
Solve the following and respond with only the final answer: 17+97=,Solve the following and respond with only the final answer: 17+95=,114
Solve the following and respond with only the final answer: 13+26=,Solve the following and respond with only the final answer: 13+91=,39
Solve the following and respond with only the final answer: 72+68=,Solve the following and respond with only the final answer: 72+90=,140
Solve the following and respond with only the final answer: 24+25=,Solve the following and respond with only the final answer: 24+78=,49
Solve the following and respond with only the final answer: 37+60=,Solve the following and respond with only the final answer: 37+53=,97
Solve the following and respond with only the final answer: 93+17=,Solve the following and respond with only the final answer: 93+52=,110
Solve the following and respond with only the final answer: 90+34=,Solve the following and respond with only the final answer: 90+12=,124
Solve the following and respond with only the final answer: 39+69=,Solve the following and respond with only the final answer: 39+92=,108
Solve the following and respond with only the final answer: 24+44=,Solve the following and respond with only the final answer: 24+57=,68
Solve the following and respond with only the final answer: 71+72=,Solve the following and respond with only the final answer: 71+18=,143
Solve the following and respond with only the final answer: 81+72=,Solve the following and respond with only the final answer: 81+29=,153
Solve the following and respond with only the final answer: 40+14=,Solve the following and respond with only the final answer: 40+44=,54
Solve the following and respond with only the final answer: 84+59=,Solve the following and respond with only the final answer: 84+30=,143
Solve the following and respond with only the final answer: 59+40=,Solve the following and respond with only the final answer: 59+62=,99
Solve the following and respond with only the final answer: 18+19=,Solve the following and respond with only the final answer: 18+62=,37
Solve the following and respond with only the final answer: 50+91=,Solve the following and respond with only the final answer: 50+50=,141
Solve the following and respond with only the final answer: 18+68=,Solve the following and respond with only the final answer: 18+88=,86
