clean,corrupted,answer
"Solve the following and respond with only the final answer: What is zarp(86,28)?","Solve the following and respond with only the final answer: What is zarp(86,98)?",142
"Solve the following and respond with only the final answer: What is zarp(98,42)?","Solve the following and respond with only the final answer: What is zarp(98,17)?",182
"Solve the following and respond with only the final answer: What is zarp(27,13)?","Solve the following and respond with only the final answer: What is zarp(27,60)?",53
"Solve the following and respond with only the final answer: What is zarp(14,70)?","Solve the following and respond with only the final answer: What is zarp(14,45)?",154
"Solve the following and respond with only the final answer: What is zarp(36,86)?","Solve the following and respond with only the final answer: What is zarp(36,84)?",208
"Solve the following and respond with only the final answer: What is zarp(16,43)?","Solve the following and respond with only the final answer: What is zarp(16,11)?",102
"Solve the following and respond with only the final answer: What is zarp(46,72)?","Solve the following and respond with only the final answer: What is zarp(46,20)?",190
"Solve the following and respond with only the final answer: What is zarp(83,33)?","Solve the following and respond with only the final answer: What is zarp(83,98)?",149
"Solve the following and respond with only the final answer: What is zarp(22,67)?","Solve the following and respond with only the final answer: What is zarp(22,19)?",156
"Solve the following and respond with only the final answer: What is zarp(15,58)?","Solve the following and respond with only the final answer: What is zarp(15,11)?",131
"Solve the following and respond with only the final answer: What is zarp(46,27)?","Solve the following and respond with only the final answer: What is zarp(46,85)?",100
"Solve the following and respond with only the final answer: What is zarp(50,57)?","Solve the following and respond with only the final answer: What is zarp(50,33)?",164
"Solve the following and respond with only the final answer: What is zarp(85,78)?","Solve the following and respond with only the final answer: What is zarp(85,33)?",241
"Solve the following and respond with only the final answer: What is zarp(53,93)?","Solve the following and respond with only the final answer: What is zarp(53,34)?",239
"Solve the following and respond with only the final answer: What is zarp(85,61)?","Solve the following and respond with only the final answer: What is zarp(85,71)?",207
"Solve the following and respond with only the final answer: What is zarp(81,46)?","Solve the following and respond with only the final answer: What is zarp(81,50)?",173
"Solve the following and respond with only the final answer: What is zarp(74,38)?","Solve the following and respond with only the final answer: What is zarp(74,41)?",150
"Solve the following and respond with only the final answer: What is zarp(33,68)?","Solve the following and respond with only the final answer: What is zarp(33,86)?",169
"Solve the following and respond with only the final answer: What is zarp(95,84)?","Solve the following and respond with only the final answer: What is zarp(95,55)?",263
"Solve the following and respond with only the final answer: What is zarp(79,55)?","Solve the following and respond with only the final answer: What is zarp(79,28)?",189
"Solve the following and respond with only the final answer: What is zarp(93,55)?","Solve the following and respond with only the final answer: What is zarp(93,58)?",203
"Solve the following and respond with only the final answer: What is zarp(10,12)?","Solve the following and respond with only the final answer: What is zarp(10,16)?",34
"Solve the following and respond with only the final answer: What is zarp(22,46)?","Solve the following and respond with only the final answer: What is zarp(22,26)?",114
"Solve the following and respond with only the final answer: What is zarp(48,38)?","Solve the following and respond with only the final answer: What is zarp(48,26)?",124
"Solve the following and respond with only the final answer: What is zarp(38,15)?","Solve the following and respond with only the final answer: What is zarp(38,35)?",68
"Solve the following and respond with only the final answer: What is zarp(37,40)?","Solve the following and respond with only the final answer: What is zarp(37,94)?",117
"Solve the following and respond with only the final answer: What is zarp(33,81)?","Solve the following and respond with only the final answer: What is zarp(33,78)?",195
"Solve the following and respond with only the final answer: What is zarp(51,26)?","Solve the following and respond with only the final answer: What is zarp(51,77)?",103
