clean,corrupted,answer
Solve the following and respond with only the final answer: 40-27=,Solve the following and respond with only the final answer: 40-20=,13
Solve the following and respond with only the final answer: 12-10=,Solve the following and respond with only the final answer: 12-57=,2
Solve the following and respond with only the final answer: 75+60=,Solve the following and respond with only the final answer: 75+82=,135
Solve the following and respond with only the final answer: 41+33=,Solve the following and respond with only the final answer: 41+20=,74
Solve the following and respond with only the final answer: 14+11=,Solve the following and respond with only the final answer: 14+50=,25
Solve the following and respond with only the final answer: 94-42=,Solve the following and respond with only the final answer: 94-45=,52
Solve the following and respond with only the final answer: 96-32=,Solve the following and respond with only the final answer: 96-23=,64
Solve the following and respond with only the final answer: 69-19=,Solve the following and respond with only the final answer: 69-37=,50
Solve the following and respond with only the final answer: 55+41=,Solve the following and respond with only the final answer: 55+82=,96
Solve the following and respond with only the final answer: 98-72=,Solve the following and respond with only the final answer: 98-42=,26
Solve the following and respond with only the final answer: 51+54=,Solve the following and respond with only the final answer: 51+19=,105
Solve the following and respond with only the final answer: 31+33=,Solve the following and respond with only the final answer: 31+41=,64
Solve the following and respond with only the final answer: 43+81=,Solve the following and respond with only the final answer: 43+48=,124
Solve the following and respond with only the final answer: 97+92=,Solve the following and respond with only the final answer: 97+32=,189
Solve the following and respond with only the final answer: 86+58=,Solve the following and respond with only the final answer: 86+37=,144
Solve the following and respond with only the final answer: 91+70=,Solve the following and respond with only the final answer: 91+34=,161
Solve the following and respond with only the final answer: 63-21=,Solve the following and respond with only the final answer: 63-47=,42
Solve the following and respond with only the final answer: 79+59=,Solve the following and respond with only the final answer: 79+87=,138
Solve the following and respond with only the final answer: 47+10=,Solve the following and respond with only the final answer: 47+22=,57
Solve the following and respond with only the final answer: 78-40=,Solve the following and respond with only the final answer: 78-61=,38
Solve the following and respond with only the final answer: 70-53=,Solve the following and respond with only the final answer: 70-56=,17
Solve the following and respond with only the final answer: 56+40=,Solve the following and respond with only the final answer: 56+29=,96
Solve the following and respond with only the final answer: 13+43=,Solve the following and respond with only the final answer: 13+54=,56
Solve the following and respond with only the final answer: 33+17=,Solve the following and respond with only the final answer: 33+29=,50
Solve the following and respond with only the final answer: 75+56=,Solve the following and respond with only the final answer: 75+24=,131
Solve the following and respond with only the final answer: 95+47=,Solve the following and respond with only the final answer: 95+61=,142
Solve the following and respond with only the final answer: 71-43=,Solve the following and respond with only the final answer: 71-31=,28
Solve the following and respond with only the final answer: 47-16=,Solve the following and respond with only the final answer: 47-91=,31
Solve the following and respond with only the final answer: 55-40=,Solve the following and respond with only the final answer: 55-27=,15
Solve the following and respond with only the final answer: 96-39=,Solve the following and respond with only the final answer: 96-77=,57
Solve the following and respond with only the final answer: 99-21=,Solve the following and respond with only the final answer: 99-60=,78
Solve the following and respond with only the final answer: 89+66=,Solve the following and respond with only the final answer: 89+47=,155
Solve the following and respond with only the final answer: 50+37=,Solve the following and respond with only the final answer: 50+99=,87
Solve the following and respond with only the final answer: 86+50=,Solve the following and respond with only the final answer: 86+49=,136
Solve the following and respond with only the final answer: 31+95=,Solve the following and respond with only the final answer: 31+56=,126
Solve the following and respond with only the final answer: 81-35=,Solve the following and respond with only the final answer: 81-60=,46
Solve the following and respond with only the final answer: 74-46=,Solve the following and respond with only the final answer: 74-47=,28
Solve the following and respond with only the final answer: 84-58=,Solve the following and respond with only the final answer: 84-23=,26
Solve the following and respond with only the final answer: 76-30=,Solve the following and respond with only the final answer: 76-13=,46
Solve the following and respond with only the final answer: 10+62=,Solve the following and respond with only the final answer: 10+11=,72
Solve the following and respond with only the final answer: 43-28=,Solve the following and respond with only the final answer: 43-91=,15
Solve the following and respond with only the final answer: 51+45=,Solve the following and respond with only the final answer: 51+87=,96
Solve the following and respond with only the final answer: 63-51=,Solve the following and respond with only the final answer: 63-96=,12
Solve the following and respond with only the final answer: 94+42=,Solve the following and respond with only the final answer: 94+46=,136
Solve the following and respond with only the final answer: 72-19=,Solve the following and respond with only the final answer: 72-77=,53
Solve the following and respond with only the final answer: 28+87=,Solve the following and respond with only the final answer: 28+33=,115
Solve the following and respond with only the final answer: 86-42=,Solve the following and respond with only the final answer: 86-21=,44
Solve the following and respond with only the final answer: 66+64=,Solve the following and respond with only the final answer: 66+89=,130
Solve the following and respond with only the final answer: 88+13=,Solve the following and respond with only the final answer: 88+10=,101
Solve the following and respond with only the final answer: 70-18=,Solve the following and respond with only the final answer: 70-96=,52
Solve the following and respond with only the final answer: 25+22=,Solve the following and respond with only the final answer: 25+34=,47
Solve the following and respond with only the final answer: 89-55=,Solve the following and respond with only the final answer: 89-88=,34
Solve the following and respond with only the final answer: 40+12=,Solve the following and respond with only the final answer: 40+34=,52
Solve the following and respond with only the final answer: 52+33=,Solve the following and respond with only the final answer: 52+90=,85
Solve the following and respond with only the final answer: 72-18=,Solve the following and respond with only the final answer: 72-86=,54
Solve the following and respond with only the final answer: 21+75=,Solve the following and respond with only the final answer: 21+98=,96
Solve the following and respond with only the final answer: 60-26=,Solve the following and respond with only the final answer: 60-43=,34
Solve the following and respond with only the final answer: 46+41=,Solve the following and respond with only the final answer: 46+54=,87
Solve the following and respond with only the final answer: 47+95=,Solve the following and respond with only the final answer: 47+66=,142
Solve the following and respond with only the final answer: 43-39=,Solve the following and respond with only the final answer: 43-37=,4
Solve the following and respond with only the final answer: 61+56=,Solve the following and respond with only the final answer: 61+34=,117
Solve the following and respond with only the final answer: 51-33=,Solve the following and respond with only the final answer: 51-62=,18
Solve the following and respond with only the final answer: 57-52=,Solve the following and respond with only the final answer: 57-83=,5
Solve the following and respond with only the final answer: 45-17=,Solve the following and respond with only the final answer: 45-65=,28
Solve the following and respond with only the final answer: 73-19=,Solve the following and respond with only the final answer: 73-74=,54
Solve the following and respond with only the final answer: 25-18=,Solve the following and respond with only the final answer: 25-20=,7
Solve the following and respond with only the final answer: 84-81=,Solve the following and respond with only the final answer: 84-98=,3
Solve the following and respond with only the final answer: 96-47=,Solve the following and respond with only the final answer: 96-45=,49
Solve the following and respond with only the final answer: 46+40=,Solve the following and respond with only the final answer: 46+84=,86
Solve the following and respond with only the final answer: 68+36=,Solve the following and respond with only the final answer: 68+84=,104
Solve the following and respond with only the final answer: 80-73=,Solve the following and respond with only the final answer: 80-66=,7
Solve the following and respond with only the final answer: 23+48=,Solve the following and respond with only the final answer: 23+22=,71
Solve the following and respond with only the final answer: 69-44=,Solve the following and respond with only the final answer: 69-93=,25
Solve the following and respond with only the final answer: 63+17=,Solve the following and respond with only the final answer: 63+43=,80
Solve the following and respond with only the final answer: 85+19=,Solve the following and respond with only the final answer: 85+37=,104
Solve the following and respond with only the final answer: 53-39=,Solve the following and respond with only the final answer: 53-25=,14
Solve the following and respond with only the final answer: 55-24=,Solve the following and respond with only the final answer: 55-48=,31
Solve the following and respond with only the final answer: 88-72=,Solve the following and respond with only the final answer: 88-35=,16
Solve the following and respond with only the final answer: 40+58=,Solve the following and respond with only the final answer: 40+60=,98
Solve the following and respond with only the final answer: 20+77=,Solve the following and respond with only the final answer: 20+55=,97
Solve the following and respond with only the final answer: 88-77=,Solve the following and respond with only the final answer: 88-64=,11
Solve the following and respond with only the final answer: 38+74=,Solve the following and respond with only the final answer: 38+64=,112
Solve the following and respond with only the final answer: 10+66=,Solve the following and respond with only the final answer: 10+68=,76
Solve the following and respond with only the final answer: 94-44=,Solve the following and respond with only the final answer: 94-76=,50
Solve the following and respond with only the final answer: 28+11=,Solve the following and respond with only the final answer: 28+57=,39
Solve the following and respond with only the final answer: 29+66=,Solve the following and respond with only the final answer: 29+62=,95
Solve the following and respond with only the final answer: 30-18=,Solve the following and respond with only the final answer: 30-49=,12
Solve the following and respond with only the final answer: 68-65=,Solve the following and respond with only the final answer: 68-90=,3
Solve the following and respond with only the final answer: 93+64=,Solve the following and respond with only the final answer: 93+27=,157
Solve the following and respond with only the final answer: 27+55=,Solve the following and respond with only the final answer: 27+51=,82
Solve the following and respond with only the final answer: 96-46=,Solve the following and respond with only the final answer: 96-42=,50
Solve the following and respond with only the final answer: 46+89=,Solve the following and respond with only the final answer: 46+11=,135
Solve the following and respond with only the final answer: 30+84=,Solve the following and respond with only the final answer: 30+56=,114
Solve the following and respond with only the final answer: 45+47=,Solve the following and respond with only the final answer: 45+26=,92
Solve the following and respond with only the final answer: 80-33=,Solve the following and respond with only the final answer: 80-14=,47
Solve the following and respond with only the final answer: 55+75=,Solve the following and respond with only the final answer: 55+69=,130
Solve the following and respond with only the final answer: 50-36=,Solve the following and respond with only the final answer: 50-48=,14
Solve the following and respond with only the final answer: 83+35=,Solve the following and respond with only the final answer: 83+86=,118
Solve the following and respond with only the final answer: 27-23=,Solve the following and respond with only the final answer: 27-87=,4
Solve the following and respond with only the final answer: 91-24=,Solve the following and respond with only the final answer: 91-60=,67
Solve the following and respond with only the final answer: 73+97=,Solve the following and respond with only the final answer: 73+96=,170
Solve the following and respond with only the final answer: 21+88=,Solve the following and respond with only the final answer: 21+64=,109
Solve the following and respond with only the final answer: 88+83=,Solve the following and respond with only the final answer: 88+96=,171
Solve the following and respond with only the final answer: 69-55=,Solve the following and respond with only the final answer: 69-61=,14
Solve the following and respond with only the final answer: 81+69=,Solve the following and respond with only the final answer: 81+84=,150
Solve the following and respond with only the final answer: 94-32=,Solve the following and respond with only the final answer: 94-22=,62
Solve the following and respond with only the final answer: 60+92=,Solve the following and respond with only the final answer: 60+59=,152
Solve the following and respond with only the final answer: 48-20=,Solve the following and respond with only the final answer: 48-71=,28
Solve the following and respond with only the final answer: 79-28=,Solve the following and respond with only the final answer: 79-49=,51
Solve the following and respond with only the final answer: 68-36=,Solve the following and respond with only the final answer: 68-68=,32
Solve the following and respond with only the final answer: 57+12=,Solve the following and respond with only the final answer: 57+70=,69
Solve the following and respond with only the final answer: 26+77=,Solve the following and respond with only the final answer: 26+45=,103
Solve the following and respond with only the final answer: 53+42=,Solve the following and respond with only the final answer: 53+80=,95
Solve the following and respond with only the final answer: 42+83=,Solve the following and respond with only the final answer: 42+10=,125
Solve the following and respond with only the final answer: 47-34=,Solve the following and respond with only the final answer: 47-39=,13
Solve the following and respond with only the final answer: 73+85=,Solve the following and respond with only the final answer: 73+91=,158
Solve the following and respond with only the final answer: 37+81=,Solve the following and respond with only the final answer: 37+48=,118
Solve the following and respond with only the final answer: 73-47=,Solve the following and respond with only the final answer: 73-14=,26
Solve the following and respond with only the final answer: 49+36=,Solve the following and respond with only the final answer: 49+73=,85
Solve the following and respond with only the final answer: 84-49=,Solve the following and respond with only the final answer: 84-56=,35
Solve the following and respond with only the final answer: 11+28=,Solve the following and respond with only the final answer: 11+67=,39
Solve the following and respond with only the final answer: 76+79=,Solve the following and respond with only the final answer: 76+88=,155
Solve the following and respond with only the final answer: 83+85=,Solve the following and respond with only the final answer: 83+24=,168
Solve the following and respond with only the final answer: 42-10=,Solve the following and respond with only the final answer: 42-39=,32
Solve the following and respond with only the final answer: 80+26=,Solve the following and respond with only the final answer: 80+38=,106
Solve the following and respond with only the final answer: 89-43=,Solve the following and respond with only the final answer: 89-21=,46
Solve the following and respond with only the final answer: 44+45=,Solve the following and respond with only the final answer: 44+66=,89
Solve the following and respond with only the final answer: 34-30=,Solve the following and respond with only the final answer: 34-16=,4
Solve the following and respond with only the final answer: 51+87=,Solve the following and respond with only the final answer: 51+34=,138
Solve the following and respond with only the final answer: 65+65=,Solve the following and respond with only the final answer: 65+18=,130
Solve the following and respond with only the final answer: 93+69=,Solve the following and respond with only the final answer: 93+14=,162
Solve the following and respond with only the final answer: 68+27=,Solve the following and respond with only the final answer: 68+28=,95
Solve the following and respond with only the final answer: 70-54=,Solve the following and respond with only the final answer: 70-57=,16
Solve the following and respond with only the final answer: 70-11=,Solve the following and respond with only the final answer: 70-79=,59
Solve the following and respond with only the final answer: 95-56=,Solve the following and respond with only the final answer: 95-49=,39
Solve the following and respond with only the final answer: 23+92=,Solve the following and respond with only the final answer: 23+78=,115
