clean,corrupted,answer
"What word is missing? The women that the men behind the brother _. A: meets, B: meet. answer=","What word is missing? The women that the men behind the brother _. A: meet, B: meets. answer=",A
"What word is missing? The actors that the sons near the men _. A: attract, B: attracts. answer=","What word is missing? The actors that the sons near the men _. A: attracts, B: attract. answer=",B
"What word is missing? The mother that the mother before the girl _. A: watch, B: watches. answer=","What word is missing? The mother that the mother before the girl _. A: watches, B: watch. answer=",A
"What word is missing? The mother that the brothers beside the man _. A: attracts, B: attract. answer=","What word is missing? The mother that the brothers beside the man _. A: attract, B: attracts. answer=",A
"What word is missing? The father that the man near the friend _. A: attracts, B: attract. answer=","What word is missing? The father that the man near the friend _. A: attract, B: attracts. answer=",B
"What word is missing? The daughters that the mother near the actress _. A: defend, B: defends. answer=","What word is missing? The daughters that the mother near the actress _. A: defends, B: defend. answer=",A
"What word is missing? The mother that the father before the student _. A: stop, B: stops. answer=","What word is missing? The mother that the father before the student _. A: stops, B: stop. answer=",A
"What word is missing? The mothers that the son behind the students _. A: greets, B: greet. answer=","What word is missing? The mothers that the son behind the students _. A: greet, B: greets. answer=",B
"What word is missing? The girls that the son near the friends _. A: observes, B: observe. answer=","What word is missing? The girls that the son near the friends _. A: observe, B: observes. answer=",B
"What word is missing? The actors that the student beside the friend _. A: stops, B: stop. answer=","What word is missing? The actors that the student beside the friend _. A: stop, B: stops. answer=",B
"What word is missing? The daughters that the students beside the brothers _. A: knows, B: know. answer=","What word is missing? The daughters that the students beside the brothers _. A: know, B: knows. answer=",A
"What word is missing? The actor that the farmers beside the man _. A: meets, B: meet. answer=","What word is missing? The actor that the farmers beside the man _. A: meet, B: meets. answer=",A
"What word is missing? The daughter that the boys beside the fathers _. A: ignore, B: ignores. answer=","What word is missing? The daughter that the boys beside the fathers _. A: ignores, B: ignore. answer=",B
"What word is missing? The brothers that the mother beside the farmer _. A: attracts, B: attract. answer=","What word is missing? The brothers that the mother beside the farmer _. A: attract, B: attracts. answer=",B
"What word is missing? The girl that the brothers near the daughters _. A: observes, B: observe. answer=","What word is missing? The girl that the brothers near the daughters _. A: observe, B: observes. answer=",A
"What word is missing? The sister that the student beside the fathers _. A: interrupts, B: interrupt. answer=","What word is missing? The sister that the student beside the fathers _. A: interrupt, B: interrupts. answer=",B
"What word is missing? The men that the student beside the actors _. A: defend, B: defends. answer=","What word is missing? The men that the student beside the actors _. A: defends, B: defend. answer=",A
"What word is missing? The actors that the mother behind the fathers _. A: attracts, B: attract. answer=","What word is missing? The actors that the mother behind the fathers _. A: attract, B: attracts. answer=",B
"What word is missing? The sons that the brother beside the son _. A: welcomes, B: welcome. answer=","What word is missing? The sons that the brother beside the son _. A: welcome, B: welcomes. answer=",B
"What word is missing? The actors that the actresses near the man _. A: knows, B: know. answer=","What word is missing? The actors that the actresses near the man _. A: know, B: knows. answer=",A
"What word is missing? The friend that the sisters before the men _. A: avoid, B: avoids. answer=","What word is missing? The friend that the sisters before the men _. A: avoids, B: avoid. answer=",B
"What word is missing? The mothers that the sons behind the man _. A: meets, B: meet. answer=","What word is missing? The mothers that the sons behind the man _. A: meet, B: meets. answer=",A
"What word is missing? The boys that the son before the actors _. A: interrupt, B: interrupts. answer=","What word is missing? The boys that the son before the actors _. A: interrupts, B: interrupt. answer=",A
"What word is missing? The farmers that the friends behind the students _. A: observe, B: observes. answer=","What word is missing? The farmers that the friends behind the students _. A: observes, B: observe. answer=",B
"What word is missing? The father that the farmers behind the mother _. A: defends, B: defend. answer=","What word is missing? The father that the farmers behind the mother _. A: defend, B: defends. answer=",A
"What word is missing? The man that the men behind the daughters _. A: welcome, B: welcomes. answer=","What word is missing? The man that the men behind the daughters _. A: welcomes, B: welcome. answer=",B
"What word is missing? The men that the girls before the sister _. A: greet, B: greets. answer=","What word is missing? The men that the girls before the sister _. A: greets, B: greet. answer=",B
"What word is missing? The friends that the sisters near the father _. A: attract, B: attracts. answer=","What word is missing? The friends that the sisters near the father _. A: attracts, B: attract. answer=",B
"What word is missing? The farmers that the brothers beside the farmers _. A: watch, B: watches. answer=","What word is missing? The farmers that the brothers beside the farmers _. A: watches, B: watch. answer=",B
"What word is missing? The daughters that the father behind the farmers _. A: knows, B: know. answer=","What word is missing? The daughters that the father behind the farmers _. A: know, B: knows. answer=",B
"What word is missing? The son that the mothers beside the farmers _. A: watch, B: watches. answer=","What word is missing? The son that the mothers beside the farmers _. A: watches, B: watch. answer=",B
"What word is missing? The sons that the woman near the sisters _. A: knows, B: know. answer=","What word is missing? The sons that the woman near the sisters _. A: know, B: knows. answer=",B
"What word is missing? The sons that the actor behind the friends _. A: greet, B: greets. answer=","What word is missing? The sons that the actor behind the friends _. A: greets, B: greet. answer=",A
"What word is missing? The sons that the fathers behind the boys _. A: block, B: blocks. answer=","What word is missing? The sons that the fathers behind the boys _. A: blocks, B: block. answer=",B
"What word is missing? The student that the father beside the sisters _. A: greet, B: greets. answer=","What word is missing? The student that the father beside the sisters _. A: greets, B: greet. answer=",A
"What word is missing? The brother that the student near the father _. A: attracts, B: attract. answer=","What word is missing? The brother that the student near the father _. A: attract, B: attracts. answer=",B
"What word is missing? The actresses that the actress behind the daughter _. A: block, B: blocks. answer=","What word is missing? The actresses that the actress behind the daughter _. A: blocks, B: block. answer=",A
"What word is missing? The mothers that the women behind the farmer _. A: interrupts, B: interrupt. answer=","What word is missing? The mothers that the women behind the farmer _. A: interrupt, B: interrupts. answer=",A
"What word is missing? The student that the sister near the student _. A: watch, B: watches. answer=","What word is missing? The student that the sister near the student _. A: watches, B: watch. answer=",A
"What word is missing? The actresses that the daughter near the boys _. A: observe, B: observes. answer=","What word is missing? The actresses that the daughter near the boys _. A: observes, B: observe. answer=",A
"What word is missing? The sons that the actress near the brothers _. A: blocks, B: block. answer=","What word is missing? The sons that the actress near the brothers _. A: block, B: blocks. answer=",B
"What word is missing? The actresses that the actress behind the women _. A: know, B: knows. answer=","What word is missing? The actresses that the actress behind the women _. A: knows, B: know. answer=",A
"What word is missing? The daughter that the brothers before the father _. A: know, B: knows. answer=","What word is missing? The daughter that the brothers before the father _. A: knows, B: know. answer=",B
